"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Abarth 595 ABARTH 595 1.4 16v T-JET 107 KW (145 CV) E6D","","Gasolina","M1","1045","","","",""
"Abarth 595 ABARTH 595 COMPETIZIONE 1.4 16v T-JET 132 KW (180 CV) E6D","","Gasolina","M1","1065","","","",""
"Abarth 595 ABARTH 595 ESSEESSE 1.4 16v T-JET 132 KW (180 CV) E6D","","Gasolina","M1","1065","","","",""
"Abarth 595 ABARTH 595 MONSTER ENERGY YAMAHA 1.4 16v T-JET 121 kW (165 CV) E6D","","Gasolina","M1","1065","","","",""
"Abarth 595 ABARTH 595 PISTA 1.4 16v T-JET 121 kW (165 CV) E6D","","Gasolina","M1","1065","","","",""
"Abarth 595 ABARTH 595 SCORPIONEORO 1.4 16v T-JET 121 kW (165 CV) E6D","","Gasolina","M1","1065","","","",""
"Abarth 595 ABARTH 595 TURISMO 1.4 16v T-JET 121 kW (165 CV) E6D","","Gasolina","M1","1065","","","",""
"Abarth 595 ABARTH 595C 1.4 16v T-JET 107 KW (145 CV) E6D","","Gasolina","M1","1075","","","",""
"Abarth 595 ABARTH 595C COMPETIZIONE 1.4 16v T-JET 132 KW (180 CV) E6D","","Gasolina","M1","1090","","","",""
"Abarth 595 ABARTH 595C ESSEESSE 1.4 16v T-JET 132 KW (180 CV) E6D","","Gasolina","M1","1090","","","",""
"Abarth 595 ABARTH 595C MONSTER ENERGY YAMAHA 1.4 16v T-JET 121 kW (165 CV) E6D","","Gasolina","M1","1090","","","",""
"Abarth 595 ABARTH 595C PISTA 1.4 16v T-JET 121 kW (165 CV) E6D","","Gasolina","M1","1090","","","",""
"Abarth 595 ABARTH 595C SCORPIONEORO 1.4 16v T-JET 121 KW (165 CV) E6D","","Gasolina","M1","1090","","","",""
"Abarth 595 ABARTH 595C TURISMO 1.4 16v T-JET 121 KW (165 CV) E6D","","Gasolina","M1","1090","","","",""
"Abarth 595 ABARTH 695 70º ANIVERSARIO 1.4 16v T-JET 132 KW (180 CV) E6D","","Gasolina","M1","1065","","","",""
"Abarth Abarth 500 BEV Nuevo Abarth 500e Scorpionissima 42kwh 113kw (154cv)","","Eléctricos puros","M1","1410","18.1","113.0","253.0","42.0"
"Abarth Abarth 500 BEV Nuevo Abarth Cabrio 500e Scorpionissima 42kwh 113kw (154cv)","","Eléctricos puros","M1","1435","18.8","113.0","242.0","42.0"
"Addax MT15n 55 km/h Caja flatbed","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Cargo","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Chasis","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Combo Tipper","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Frigo","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Tipper","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 55 km/h Tipper container","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15n 60 km/h Caja flatbed","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Cargo","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Chasis","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Combo Tipper","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Frigo","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Tipper","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 60 km/h Tipper container","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15n 70 km/h Caja flatbed","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Cargo","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Chasis","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Combo Tipper","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Frigo","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Tipper","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15n 70 km/h Tipper container","","Eléctricos puros","N1","1910","18.6","12.5","76.0","14.4"
"Addax MT15x 55 km/h Caja flatbed","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Cargo","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Chasis","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Combo Tipper","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Frigo","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Tipper","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 55 km/h Tipper container","","Eléctricos puros","N1","1910","11.4","12.5","114.0","14.4"
"Addax MT15x 60 km/h Caja flatbed","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Cargo","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Chasis","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Combo Tipper","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Frigo","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Tipper","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT15x 60 km/h Tipper container","","Eléctricos puros","N1","1910","18.4","12.5","76.0","14.4"
"Addax MT8n Caja flatbed","","Eléctricos puros","N1","1910","12.1","12.5","60.0","8.0"
