"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"SKODA OCTAVIA LIMO Enero MY23 RS PLUS 2.0 TSI 180 kW (245 CV) DSG (MTMA 2070)","","Gasolina","M1","2070","","","",""
"SKODA OCTAVIA LIMO Enero MY23 RS PLUS 2.0 TSI 180 kW (245 CV) DSG (MTMA 2080)","","Gasolina","M1","2080","","","",""
"SKODA OCTAVIA LIMO Enero MY23 SELECTION 1.0 TSI 81 kW (110 CV) DSG m-HEV (MTMA 1860)","","Gasolina","M1","1860","","","",""
"SKODA OCTAVIA LIMO Enero MY23 SELECTION 1.0 TSI 81 kW (110 CV) DSG m-HEV (MTMA 1900)","","Gasolina","M1","1900","","","",""
"SKODA OCTAVIA LIMO Enero MY23 SELECTION 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1880)","","Gasolina","M1","1880","","","",""
"SKODA OCTAVIA LIMO Enero MY23 SELECTION 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1920)","","Gasolina","M1","1920","","","",""
"SKODA OCTAVIA LIMO Enero MY23 SELECTION 2.0 TDI 110 kW (150 CV) DSG (MTMA 2000)","","Gasóleo","M1","2000","","","",""
"SKODA OCTAVIA LIMO Enero MY23 SELECTION 2.0 TDI 85 kW (115 CV) Manual (MTMA 1970)","","Gasóleo","M1","1970","","","",""
"SKODA OCTAVIA LIMO MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040)","","Híbridos enchufables","M1","2040","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090)","","Híbridos enchufables","M1","2090","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY21 Ambition 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120)","","Híbridos enchufables","M1","2120","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY21 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2135)","","Híbridos enchufables","M1","2135","15.1","85.0","68.0","13.0"
"SKODA OCTAVIA LIMO MY21 RS 1,4 TSI iV P-HEV 180 kW (245 CV) DSG 6 vel. (MTMA 2166)","","Híbridos enchufables","M1","2166","15.1","85.0","68.0","13.0"
"SKODA OCTAVIA LIMO MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040)","","Híbridos enchufables","M1","2040","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090)","","Híbridos enchufables","M1","2090","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY21 Sport 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120)","","Híbridos enchufables","M1","2120","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2040)","","Híbridos enchufables","M1","2040","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2090)","","Híbridos enchufables","M1","2090","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY21 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120)","","Híbridos enchufables","M1","2120","14.7","85.0","64.0","13.0"
